Sr No.,Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating score,Product URL,Image URL
41,LG UQ75 139 cm (55 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,71990.0,57490.0,3,3.0,5.0,/lg-uq75-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257092,https://media.croma.com/image/upload/v1664409908/Croma%20Assets/Entertainment/Television/Images/257092_0_epiu0b.png
42,LG UQ75 165.1 cm (65 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,104990.0,89990.0,0,0.0,N/A,/lg-uq75-165-1-cm-65-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/258889,https://media.croma.com/image/upload/v1664414658/Croma%20Assets/Entertainment/Television/Images/258889_0_mizmjx.png
43,LG UQ80 139 cm (55 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,84990.0,48990.0,3,3.0,5.0,/lg-uq80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/259359,https://media.croma.com/image/upload/v1677652375/Croma%20Assets/Entertainment/Television/Images/259359_0_stcrro.png
44,LG NANO75 217 cm (86 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance (2022 model),LG,554990.0,469990.0,1,1.0,4.0,/lg-nano75-217-cm-86-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/258429,https://media.croma.com/image/upload/v1664417002/Croma%20Assets/Entertainment/Television/Images/258429_0_xslyqs.png
45,LG NANO75 164 cm (65 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance (2022 model),LG,134990.0,99990.0,6,6.0,4.5,/lg-nano75-164-cm-65-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/258431,https://media.croma.com/image/upload/v1667229296/Croma%20Assets/Entertainment/Television/Images/258431_0_dtbiuq.png
46,LG NANO75 139 cm (55 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance,LG,94990.0,78990.0,55,53.0,4.56,/lg-nano75-139-cm-55-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance/p/258430,https://media.croma.com/image/upload/v1664416808/Croma%20Assets/Entertainment/Television/Images/258430_0_za9ffb.png
47,LG G2 164 cm (65 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG,399990.0,292990.0,1,1.0,5.0,/lg-g2-164-cm-65-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258426,https://media.croma.com/image/upload/v1664417066/Croma%20Assets/Entertainment/Television/Images/258426_0_fn3jrt.png
48,LG G2 139 cm (55 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG,254990.0,156990.0,10,10.0,4.3,/lg-g2-139-cm-55-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258424,https://media.croma.com/image/upload/v1664417174/Croma%20Assets/Entertainment/Television/Images/258424_0_putdlt.png
49,LG B2 139 cm (55 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG,159990.0,134990.0,0,0.0,N/A,/lg-b2-139-cm-55-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258423,https://media.croma.com/image/upload/v1664417229/Croma%20Assets/Entertainment/Television/Images/258423_0_mnu9bz.png
50,LG NANO75 108 cm (43 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance (2022 model),LG,61990.0,52990.0,5,4.0,4.8,/lg-nano75-108-cm-43-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/257220,https://media.croma.com/image/upload/v1664429874/Croma%20Assets/Entertainment/Television/Images/257220_0_ver066.png
51,LG UQ80 189 cm (74 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,224990.0,157990.0,7,7.0,4.71,/lg-uq80-189-cm-74-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257198,https://media.croma.com/image/upload/v1664420959/Croma%20Assets/Entertainment/Television/Images/257198_0_zql5mz.png
52,LG UQ80 177 cm (70 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,164990.0,105990.0,3,3.0,4.67,/lg-uq80-177-cm-70-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257197,https://media.croma.com/image/upload/v1674566469/Croma%20Assets/Entertainment/Television/User%20Manual/257197_User%20Manual.ai
53,LG UQ80 126 cm (50 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,72990.0,50490.0,16,15.0,4.12,/lg-uq80-126-cm-50-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257196,https://media.croma.com/image/upload/v1674566471/Croma%20Assets/Entertainment/Television/User%20Manual/257196_User%20Manual.ai
54,LG UQ80 164 cm (65 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,124990.0,84990.0,19,19.0,4.53,/lg-uq80-164-cm-65-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257195,https://media.croma.com/image/upload/v1674566473/Croma%20Assets/Entertainment/Television/User%20Manual/257195_User%20Manual.ai
55,SONY X80K Series 189 cm (75 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,269900.0,151990.0,6,6.0,4.83,/sony-x80k-series-189-cm-75-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256873,https://media.croma.com/image/upload/v1664412604/Croma%20Assets/Entertainment/Television/Images/256873_0_xyij5o.png
56,SONY X80K Series 163.9 cm (65 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,164900.0,96890.0,18,17.0,4.56,/sony-x80k-series-163-9-cm-65-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/257131,https://media.croma.com/image/upload/v1664416542/Croma%20Assets/Entertainment/Television/Images/257131_0_ql9jes.png
57,SONY Bravia 108 cm (43 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,99900.0,66490.0,12,12.0,4.33,/sony-bravia-108-cm-43-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/253065,https://media.croma.com/image/upload/v1664428168/Croma%20Assets/Entertainment/Television/Images/253065_0_scqgqa.png
58,SONY Bravia X80K 125.7 cm (50 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,114900.0,74090.0,3,3.0,5.0,/sony-bravia-x80k-125-7-cm-50-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256346,https://media.croma.com/image/upload/v1664427590/Croma%20Assets/Entertainment/Television/Images/256346_0_q0uval.png
59,SONY Bravia XR 163.9 cm (65 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,229900.0,142490.0,6,6.0,4.83,/sony-bravia-xr-163-9-cm-65-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256348,https://media.croma.com/image/upload/v1664427470/Croma%20Assets/Entertainment/Television/Images/256348_0_vmrvot.png
60,Sony X90K 138.8 cm (55 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,169900.0,104490.0,10,10.0,4.5,/sony-x90k-138-8-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/256347,https://media.croma.com/image/upload/v1664427669/Croma%20Assets/Entertainment/Television/Images/256347_0_q4yl9d.png
61,Acer I Series 126 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),Acer,40990.0,26999.0,34,33.0,4.5,/acer-i-series-126-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255844,https://media.croma.com/image/upload/v1665474073/Croma%20Assets/Entertainment/Television/Images/255844_pjcf8k.png
62,LG UQ80 139 cm (55 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,84990.0,59990.0,84,81.0,4.69,/lg-uq80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/256092,https://media.croma.com/image/upload/v1674566472/Croma%20Assets/Entertainment/Television/User%20Manual/256092_User%20Manual.ai
63,LG UQ80 108 cm (43 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG,59990.0,40990.0,75,69.0,4.52,/lg-uq80-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/256198,https://media.croma.com/image/upload/v1664431209/Croma%20Assets/Entertainment/Television/Images/256198_0_sftywr.png
64,TCL S Series 101 cm (40 inch) Full HD LED Smart Android TV with Google Assistant,TCL,41490.0,18889.0,8,7.0,3.25,/tcl-s-series-101-cm-40-inch-full-hd-led-smart-android-tv-with-google-assistant/p/256196,https://media.croma.com/image/upload/v1664431284/Croma%20Assets/Entertainment/Television/Images/256196_0_xzuvng.png
65,TCL C835 190.5 cm (75 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL,429990.0,229990.0,0,0.0,N/A,/tcl-c835-190-5-cm-75-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255764,https://media.croma.com/image/upload/v1666000443/Croma%20Assets/Entertainment/Television/Images/255764_cwsqyx.png
66,TCL C Series 190.5 cm (75 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL,299990.0,149990.0,0,0.0,N/A,/tcl-c-series-190-5-cm-75-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255763,https://media.croma.com/image/upload/v1670500546/Croma%20Assets/Entertainment/Television/Images/255763_qwcdxh.png
67,TCL C835 138.7 cm (55 inch) 4K Ultra HD LED Android TV with Voice Assistance (2022 model),TCL,249990.0,119990.0,0,0.0,N/A,/tcl-c835-138-7-cm-55-inch-4k-ultra-hd-led-android-tv-with-voice-assistance-2022-model-/p/255758,https://media.croma.com/image/upload/v1666000444/Croma%20Assets/Entertainment/Television/Images/255758_uizap3.png
68,TCL P735 165.1 cm (65 inch) 4K Ultra HD LED Android TV with Voice Assistance (2022 model),TCL,125990.0,65990.0,0,0.0,N/A,/tcl-p735-165-1-cm-65-inch-4k-ultra-hd-led-android-tv-with-voice-assistance-2022-model-/p/255762,https://media.croma.com/image/upload/v1666000454/Croma%20Assets/Entertainment/Television/Images/255762_woyprm.png
69,TCL P735 127 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),TCL,75990.0,33990.0,0,0.0,N/A,/tcl-p735-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255756,https://media.croma.com/image/upload/v1666000454/Croma%20Assets/Entertainment/Television/Images/255756_ahqyjn.png
70,TCL C835 Series 165 cm (65 inch) 4K Ultra HD QLED Android TV with Google Assistant,TCL,309990.0,159990.0,0,0.0,N/A,/tcl-c835-series-165-cm-65-inch-4k-ultra-hd-qled-android-tv-with-google-assistant/p/255761,https://media.croma.com/image/upload/v1666000445/Croma%20Assets/Entertainment/Television/Images/255761_gq9vqb.png
71,TCL C Series 165.1 cm (65 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL,164990.0,75990.0,3,3.0,4.67,/tcl-c-series-165-1-cm-65-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255760,https://media.croma.com/image/upload/v1670500549/Croma%20Assets/Entertainment/Television/Images/255760_yozfex.png
72,TCL P735 139 cm (55 inch) 4K Ultra HD LED Android TV with Voice Assistance,TCL,82990.0,40990.0,11,11.0,4.09,/tcl-p735-139-cm-55-inch-4k-ultra-hd-led-android-tv-with-voice-assistance/p/255759,https://media.croma.com/image/upload/v1666000454/Croma%20Assets/Entertainment/Television/Images/255759_gggsyc.png
73,TCL C Series 139.7 cm (55 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL,119990.0,44990.0,11,11.0,4.27,/tcl-c-series-139-7-cm-55-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255757,https://media.croma.com/image/upload/v1671046002/255757_0_hqh2gl.png
74,TCL C Series 127 cm (50 inch) 4K Ultra HD QLED Android TV with Voice Assistance (2022 model),TCL,112990.0,45990.0,1,0.0,4.0,/tcl-c-series-127-cm-50-inch-4k-ultra-hd-qled-android-tv-with-voice-assistance-2022-model-/p/255755,https://media.croma.com/image/upload/v1670500556/Croma%20Assets/Entertainment/Television/Images/255755_wxjvrz.png
